Survey_StNo_HaulNo_Year,LATITUDE,LONGITUDE,Depth,Temperature,Salinity,Current_Speed,Grain_Size,Distance_to_Shore,F_LPUE,Scallop,MI_Av_E_Hr,MI_Av_LPUE,MI_Sum_Liv,Whelk,MmoAvScKwh,Cod_C,Cod_T,Cod_B,Cod_S,Haddock_C,Haddock_T,Haddock_B,Haddock_S,Plaice_C,Plaice_T,Plaice_B,Plaice_S,Whiting_C,Whiting_T,Whiting_B,Whiting_S,ComSkt_C,ComSkt_T,ComSkt_B,ComSkt_S,Blonde_C,Blonde_T,Blonde_S,C_Preds,T_Preds,B_Preds,S_Preds,Cuckoo,Thornback,Blonde,Spotted
BTS-VIIa/23/67/2009,53.89215,-3.3223,11.67,16.551,33.646,0.89,0.254375,18000,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/206/89/2009,53.86995,-6.10395,28.62,14.026,34.196,0.23,0.126875,10049.875,62.11321575,8536.822221,0,0,0,0.197,9228.522807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/405/86/2009,53.8382,-5.24145,62.35,14.207,34.193,0.61,0.126875,36400.55078,58.35263747,1243.927777,0,0,0,0.035036051,4971.037695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/43/64/2009,53.8496,-3.44965,17.41,16.544,33.85,0.79,0.254375,27000,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/53/61/2009,53.83565,-3.93475,39.3,15.777,34.03,0.96,0.975601563,48414.875,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/401/98/2009,53.7574,-4.7842,73.34,14.777,34.155,0.98,0.3340625,33000,0,11793.51481,0,0,0,1.715357282,10583.77024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/27/68/2009,53.76705,-3.1484,8.63,16.751,33.521,0.59,0.254375,7000,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/423/60/2009,53.8266,-4.1928,46.53,15.648,34.07,1.15,0.975601563,38832.97656,0,11793.51481,25.09722183,85.08649036,14685.13615,1.715357282,10583.77024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/213/90/2009,53.7222,-5.88675,48.76,13.567,34.185,0.43,0.126875,19798.99023,61.43814433,1243.927777,0,0,0,0.035036051,4971.037695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/54/56/2009,53.74885,-3.67355,38.33,16.273,33.986,0.8,0.429296875,41000,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/313/105/2009,52.8488,-4.1817,11.96,16.511,34.112,0.17,0.3340625,4000,0,2319.133333,0,0,0,0.502162825,4133.212082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/233/106/2009,52.7977,-6.0991,11.2,16.109,34.264,0.75,0.3340625,2828.427002,0,522.6481481,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/309/43/2009,52.7372,-4.4731,28.72,16.558,34.127,0.51,0.254375,6403.124512,0,2319.133333,0,0,0,0.502162825,4133.212082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/316/42/2009,52.6436,-4.38485,17.19,16.659,34.232,0.42,2.350328125,17464.24805,0,2319.133333,0,0,0,0.502162825,4133.212082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/430/107/2009,52.56535,-5.8206,59.15,14.849,34.258,1.38,2.350328125,26000,0,137.4555556,0,0,0,0.246811779,3008.668333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,0,0,0,0
BTS-VIIa/416/41/2009,52.43495,-4.80635,48.44,15.713,34.469,0.84,0.975601563,34928.49609,0,9966.455556,2,29.85714286,59.71428571,0.894867407,5535.695809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/321/40/2009,52.3803,-4.3034,15.86,17.066,34.185,0.43,0.3340625,13000,0,9966.455556,1.833332,290.9093025,533.3333333,0.894867407,5535.695809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,0,0,2,0
BTS-VIIa/28/65/2009,53.7447,-3.24015,13.23,16.782,33.609,0.72,0.254375,13038.4043,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/54/58/2009,53.71965,-3.8045,41.84,16.306,34.012,0.9,2.350328125,43104.52344,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/408/95/2009,53.7042,-5.4673,103.58,11.487,34.226,0.6,0.0471875,42720.01953,61.48622483,1243.927777,0,0,0,0.035036051,4971.037695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/214/91/2009,53.62605,-6.1128,14.06,15.715,34.195,0.4,0.3340625,4472.13623,47.52112767,8536.822221,0,0,0,0.197,9228.522807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/30/55/2009,53.6682,-3.23715,12.18,16.793,33.951,0.63,0.3340625,13601.4707,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/47/53/2009,53.67105,-3.5613,28.69,16.729,33.928,0.8,0.429296875,33241.53906,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/47/57/2009,53.6612,-3.58335,30.79,16.729,33.933,0.81,0.429296875,33837.84766,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,0,0,2,0
BTS-VIIa/31/54/2009,53.55385,-3.2899,11.07,16.923,34.048,0.67,0.349609375,12000,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/55/45/2009,53.49445,-4.04405,38.96,16.455,34.071,1.07,2.350328125,18867.96094,0,3155.722222,0,0,0,1.701607611,4824.284459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/49/52/2009,53.5641,-3.67005,33.19,16.799,34.011,0.85,0.975601563,27202.94141,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,0,0,2,0
BTS-VIIa/447/97/2009,53.475,-5.0977,79,14.243,34.212,1.22,0.975601563,33600.59375,31.78138633,201.5888889,0,0,0,1.69340688,7822.992105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/409/96/2009,53.46735,-5.3897,86.01,13.729,34.2,1.08,0.3340625,41303.75391,53.96538494,201.5888889,0,0,0,1.69340688,7822.992105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,0,0,0,0
BTS-VIIa/419/46/2009,53.5234,-4.2679,40.63,16.173,34.137,1.42,2.350328125,12369.31738,0,11793.51481,0,0,0,1.715357282,10583.77024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/32/51/2009,53.47005,-3.29155,11.89,16.863,34.109,0.75,0.3340625,11180.33984,0,252.3425926,0,0,0,0.947617588,8391.788601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/220/92/2009,53.40685,-5.90965,36.36,14.903,34.208,0.67,0.3340625,10440.30664,16,201.5888889,0,0,0,1.69340688,7822.992105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/36/50/2009,53.41365,-3.5734,12.25,16.875,34.142,0.8,2.350328125,12529.96484,0,252.3425926,0,0,0,0.947617588,8391.788601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/38/48/2009,53.38555,-3.874,18.64,16.732,34.212,0.75,0.429296875,6000,0,252.3425926,0,0,0,0.947617588,8391.788601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/37/49/2009,53.3494,-3.7196,12.84,16.606,34.23,0.7,0.429296875,5000,0,252.3425926,0,0,0,0.947617588,8391.788601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/40/47/2009,53.3396,-4.12835,9.94,16.482,34.192,0.46,0.3340625,3000,0,3155.722222,0,0,0,1.701607611,4824.284459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/40/99/2009,53.3384,-4.1975,9.42,16.494,34.156,0.42,0.254375,3000,0,3155.722222,0,0,0,1.701607611,4824.284459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/229/93/2009,53.26845,-5.9569,25.38,15.436,34.245,0.66,0.429296875,10049.875,0,201.5888889,0,0,0,1.69340688,7822.992105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,4,0,0,4,0
BTS-VIIa/421/101/2009,53.26645,-5.22755,95.72,14.398,34.276,1.26,0.975601563,36000,28.3547619,201.5888889,0,0,0,1.69340688,7822.992105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/302/102/2009,53.1367,-4.64765,37.15,15.295,34.482,0.83,0.429296875,11661.90332,0,3155.722222,0,0,0,1.701607611,4824.284459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/440/94/2009,53.1915,-5.7432,34.5,15.195,34.18,0.98,0.3340625,21840.33008,0,201.5888889,0,0,0,1.69340688,7822.992105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,20,26,26,20,0,26,0,0,24,0
BTS-VIIa/305/103/2009,53.03055,-4.48745,16.62,15.505,34.48,0.42,2.350328125,6403.124512,0,3155.722222,0,0,0,1.701607611,4824.284459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/442/104/2009,52.9322,-4.866,59.17,15.185,34.597,1.31,2.350328125,14142.13574,0,2319.133333,0,0,0,0.502162825,4133.212082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/441/100/2009,52.9975,-5.35155,72.28,14.736,34.247,1.47,2.350328125,44011.36328,0,137.4555556,0,0,0,0.246811779,3008.668333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,0,0,0,0
BTS-VIIa/19/70/2009,54.129,-3.54915,23.32,16.034,33.953,0.5,0.126875,16124.51563,46.6822172,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/203/88/2009,54.1497,-5.7939,22.63,14.233,34.216,0.19,0.975601563,5385.164551,0,7886.733333,0,0,0,0.103841552,2834.975551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/9/81/2009,54.33095,-3.48395,15.69,15.729,33.829,0.52,0.975601563,4242.640625,0,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/18/79/2009,54.3481,-3.90095,39.31,15.72,33.985,0.55,0.254375,24041.62891,55.44740254,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/17/80/2009,54.3968,-3.66105,23.23,15.965,33.661,0.51,0.126875,9219.543945,0,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/302/118/2010,53.13765,-4.6465,37.15,15.295,34.482,0.83,0.429296875,11661.90332,0,3155.722222,0,0,0,1.701607611,4824.284459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/440/123/2010,53.185,-5.74375,30.35,15.195,34.18,0.98,0.3340625,21587.0332,6.766917293,201.5888889,0,0,0,1.69340688,7822.992105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,32,34,34,32,0,34,0,0,32,0
BTS-VIIa/305/119/2010,53.03165,-4.4839,16.02,15.505,34.48,0.42,2.350328125,5830.95166,0,3155.722222,0,0,0,1.701607611,4824.284459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/442/120/2010,52.9401,-4.8653,58.59,15.158,34.602,1.3,2.350328125,14866.06836,0,2319.133333,0,0,0,0.502162825,4133.212082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/441/121/2010,52.9931,-5.35555,71.72,14.746,34.244,1.5,1.3,44011.36328,0,137.4555556,0,0,0,0.246811779,3008.668333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,0,0,0,0
BTS-VIIa/233/128/2010,52.76955,-6.10775,14.41,16.114,34.269,0.82,0.254375,2000,0,522.6481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/430/129/2010,52.50255,-5.8347,70.05,14.669,34.379,1.41,2.350328125,25000,0,137.4555556,4.5,74.81770833,1548.541667,0.246811779,3008.668333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/421/122/2010,53.25765,-5.2269,95.88,14.487,34.3,1.3,0.975601563,36013.88672,28.3547619,201.5888889,0,0,0,1.69340688,7822.992105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/229/127/2010,53.1994,-5.9404,36.23,15.326,34.208,0.78,0.975601563,10049.875,0,201.5888889,0,0,0,1.69340688,7822.992105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/220/112/2010,53.43965,-5.927,29.49,14.97,34.229,0.63,0.3340625,7810.25,77.06408071,201.5888889,0,0,0,1.69340688,7822.992105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/409/114/2010,53.51125,-5.2996,67.84,14.027,34.202,1.07,0.975601563,46647.61328,17.45701639,1243.927777,2,9,18,0.035036051,4971.037695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,4,0,0,0,0
BTS-VIIa/447/115/2010,53.518,-5.0047,45.99,14.681,34.216,1.28,2.350328125,31764.76172,0,1243.927777,0,0,0,0.035036051,4971.037695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/214/111/2010,53.6269,-6.10955,14.84,15.715,34.195,0.4,0.3340625,4472.13623,47.52112767,8536.822221,0,0,0,0.197,9228.522807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/408/113/2010,53.61845,-5.45305,99.32,12.253,34.21,0.78,0.254375,39849.71484,62.85635549,1243.927777,0,0,0,0.035036051,4971.037695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/213/110/2010,53.74885,-5.8969,46.07,13.56,34.188,0.41,0.126875,21400.93359,57.9121421,1243.927777,0,0,0,0.035036051,4971.037695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/401/103/2010,53.7406,-4.79955,57.82,14.79,34.159,1,0.975601563,34014.70313,0,11793.51481,0,0,0,1.715357282,10583.77024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/405/104/2010,53.83355,-5.2454,62.95,14.137,34.195,0.59,0.126875,37013.51172,58.35263747,1243.927777,0,0,0,0.035036051,4971.037695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/206/109/2010,53.8774,-6.0992,29.09,13.957,34.191,0.23,0.254375,11180.33984,58.54328622,8536.822221,0,0,0,0.197,9228.522807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/444/105/2010,54.1484,-5.47995,49.15,13.58,34.185,0.31,0.0471875,13892.44336,0,7886.733333,0,0,0,0.103841552,2834.975551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/19/96/2010,54.1653,-3.61345,26.92,15.678,34.01,0.43,0.126875,16643.31641,60.91091826,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/203/108/2010,54.15195,-5.80335,23.96,14.223,34.215,0.21,0.975601563,5385.164551,0,7886.733333,0,0,0,0.103841552,2834.975551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/9/95/2010,54.2664,-3.4986,13.29,15.893,33.9,0.5,0.254375,7071.067871,0,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/18/97/2010,54.29525,-3.9563,28.83,15.612,33.989,0.43,0.254375,24020.82422,0,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/17/94/2010,54.33285,-3.71955,33.11,15.85,33.966,0.5,0.0471875,16401.2207,48.64614717,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/16/93/2010,54.4391,-3.70765,23.25,16.06,33.519,0.52,0.126875,9219.543945,16.94915829,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/321/46/2010,52.38515,-4.2981,15.81,17.066,34.185,0.43,0.3340625,13000,0,9966.455556,1.833332,290.9093025,533.3333333,0.894867407,5535.695809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/416/47/2010,52.4296,-4.8097,49.06,15.739,34.464,0.85,0.975601563,34928.49609,0,9966.455556,5.416666667,80.56137087,1326.164427,0.894867407,5535.695809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/316/48/2010,52.63945,-4.37,15.03,16.659,34.246,0.43,2.350328125,16278.82031,0,2319.133333,0,0,0,0.502162825,4133.212082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,0,0,2,0
BTS-VIIa/309/50/2010,52.6956,-4.5833,37.92,16.243,34.303,0.58,0.975601563,10770.3291,0,2319.133333,0,0,0,0.502162825,4133.212082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/313/49/2010,52.82565,-4.20985,10.47,16.582,34.148,0.19,0.3340625,4123.105469,0,2319.133333,0,0,0,0.502162825,4133.212082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/40/53/2010,53.3379,-4.2012,9.19,16.525,34.148,0.53,0.254375,3000,0,3155.722222,0,0,0,1.701607611,4824.284459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/37/57/2010,53.3438,-3.70415,11.09,16.56,34.238,0.65,0.429296875,5000,0,252.3425926,0,0,0,0.947617588,8391.788601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,0,2,0
BTS-VIIa/38/56/2010,53.3845,-3.8706,13.73,16.732,34.212,0.75,0.429296875,5000,0,252.3425926,0,0,0,0.947617588,8391.788601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/36/58/2010,53.4139,-3.57505,12.25,16.875,34.142,0.8,2.350328125,12529.96484,0,252.3425926,0,0,0,0.947617588,8391.788601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/32/60/2010,53.4639,-3.39985,15.98,16.688,34.121,0.81,0.975601563,13038.4043,0,252.3425926,0,0,0,0.947617588,8391.788601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/419/54/2010,53.5174,-4.26805,39.73,16.249,34.142,1.45,2.350328125,12369.31738,0,11793.51481,0,0,0,1.715357282,10583.77024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/55/55/2010,53.5766,-4.0407,45.8,16.342,34.049,1.12,0.909859375,25455.8457,0,11793.51481,7.1966666,88.18990187,3379.780636,1.715357282,10583.77024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/49/61/2010,53.56065,-3.67205,33.19,16.799,34.011,0.85,0.975601563,27202.94141,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/31/70/2010,53.55105,-3.2736,9.22,16.901,34.082,0.68,0.349609375,12000,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/47/69/2010,53.66135,-3.58345,30.79,16.729,33.933,0.81,0.429296875,33837.84766,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,4,0,0,2,0
BTS-VIIa/30/71/2010,53.6375,-3.31615,16.98,16.926,33.973,0.67,0.429296875,16124.51563,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/54/68/2010,53.71835,-3.7488,40.63,16.375,34.003,0.85,0.975601563,43566.03906,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/28/66/2010,53.74085,-3.34515,18.06,16.763,33.84,0.79,0.349609375,19026.29883,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/27/65/2010,53.7706,-3.14665,9.09,16.751,33.521,0.59,0.254375,7000,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/423/74/2010,53.78645,-4.1355,45.62,15.836,34.059,1.14,0.975601563,43011.62891,0,11793.51481,18.51666617,83.56311038,9703.850077,1.715357282,10583.77024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/53/75/2010,53.815,-3.87455,38.74,15.874,34.022,0.92,0.975601563,50774.00781,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
