Survey_StNo_HaulNo_Year,LATITUDE,LONGITUDE,Depth,Temperature,Salinity,Current_Speed,Grain_Size,Distance_to_Shore,F_LPUE,Scallop,MI_Av_E_Hr,MI_Av_LPUE,MI_Sum_Liv,Whelk,MmoAvScKwh,Cod_C,Cod_T,Cod_B,Cod_S,Haddock_C,Haddock_T,Haddock_B,Haddock_S,Plaice_C,Plaice_T,Plaice_B,Plaice_S,Whiting_C,Whiting_T,Whiting_B,Whiting_S,ComSkt_C,ComSkt_T,ComSkt_B,ComSkt_S,Blonde_C,Blonde_T,Blonde_S,C_Preds,T_Preds,B_Preds,S_Preds,Cuckoo,Thornback,Blonde,Spotted
BTS-VIIa/32/62/1993,53.4608,-3.41415,16.78,16.654,34.089,0.81,0.975601563,13152.94629,0,252.3425926,0,0,0,0.947617588,8391.788601,0,0,0,0,0,0,0,0,166,18,2,166,0,0,0,0,0,0,0,0,0,0,0,166,18,2,166,0,0,0,0
BTS-VIIa/51/51/1993,53.4708,-3.99085,36.87,16.592,34.083,0.96,0.975601563,17888.54492,0,252.3425926,0,0,0,0.947617588,8391.788601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
BTS-VIIa/33/59/1993,53.5017,-3.4883,20.6,16.864,34.169,0.85,0.909859375,18027.75586,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,178,60,4,178,0,0,0,0,0,0,0,0,0,0,0,178,60,4,178,0,0,0,0
BTS-VIIa/55/50/1993,53.56505,-4.0509,44.97,16.369,34.056,1.12,2.350328125,24041.62891,0,11793.51481,2,50.71428571,202.8571429,1.715357282,10583.77024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/49/57/1993,53.555,-3.6766,33.09,16.799,34.011,0.85,0.975601563,27202.94141,0,2287.111111,0,0,0,0.317249829,13490.21972,2,2,2,2,0,0,0,0,12,10,2,12,0,0,0,0,0,0,0,0,0,0,0,14,12,4,14,0,2,0,0
BTS-VIIa/48/58/1993,53.55,-3.4467,22.33,17.001,34.111,0.78,0.429296875,22360.67969,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,18,14,6,18,4,4,0,4,0,0,0,0,0,0,0,22,18,6,22,0,0,0,0
BTS-VIIa/31/63/1993,53.58835,-3.39665,19.22,16.918,33.98,0.71,0.429296875,20223.75,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,108,36,0,108,2,2,2,2,0,0,0,0,0,0,0,110,38,2,110,0,24,0,0
BTS-VIIa/407/123/1993,53.6625,-5.08915,52.23,14.443,34.194,0.98,0.3340625,44598.20703,0,1243.927777,0,0,0,0.035036051,4971.037695,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0
BTS-VIIa/47/66/1993,53.66755,-3.5766,29.46,16.729,33.928,0.8,0.429296875,34176.01563,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,48,36,0,48,0,0,0,0,0,0,0,0,0,0,0,48,36,0,48,0,0,0,0
BTS-VIIa/408/114/1993,53.6908,-5.4658,102.83,11.541,34.225,0.63,0.0471875,42201.89844,61.48622483,1243.927777,0,0,0,0.035036051,4971.037695,2,2,2,2,0,0,0,0,0,0,0,0,12,6,2,14,0,0,0,0,0,0,0,14,8,4,16,0,0,0,0
