LONGITUDE,LATITUDE,Haul_Index,F_LPUE,Depth,Temperature,Salinity,Distance_to_Shore,,Current_Speed,Cuckoo,Thornback,Blonde,Spotted
-3.40835,53.4608,BTS-VIIa/32/113/1994,0,16.32,16.654,34.089,13152.94629,,0.81,0,0,0,0
-5.89755,53.41415,BTS-VIIa/220/131/1994,25.62103441,41.19,14.764,34.203,11313.70801,,0.69,0,0,0,0
-3.69005,53.395,BTS-VIIa/36/114/1994,0,13.57,16.925,34.164,10000,,0.76,0,0,0,0
-3.9934,53.37495,BTS-VIIa/38/116/1994,0,19.72,16.734,34.166,8062.257813,,0.78,0,0,0,0
-3.8166,53.36995,BTS-VIIa/37/115/1994,0,14.59,16.618,34.222,4472.13623,,0.77,0,0,0,0
-4.2092,53.34085,BTS-VIIa/40/117/1994,0,9.62,16.506,34.152,2000,,0.53,0,0,0,0
-5.9442,53.1975,BTS-VIIa/229/132/1994,0,37.15,15.326,34.208,9055.385742,,0.78,2,0,0,0
-5.2133,53.2616,BTS-VIIa/421/73/1994,28.3547619,93.54,14.498,34.298,35000,,1.31,4,0,0,0
-4.6883,53.2108,BTS-VIIa/302/137/1994,0,35.04,15.536,34.379,7211.102539,,1.27,0,0,0,0
-5.72165,53.19495,BTS-VIIa/440/133/1994,0,47.8,15.139,34.18,23086.79297,,1.14,10,0,2,0
-4.41665,53.08335,BTS-VIIa/305/136/1994,0,10.64,15.886,34.431,5099.019531,,0.27,0,0,0,0
-3.2817,53.6991,BTS-VIIa/28/108/1994,0,15.65,16.79,33.816,17088.00781,,0.72,0,0,0,0
-3.1517,53.7058,BTS-VIIa/27/109/1994,0,4.19,16.82,33.021,8602.325195,,0.57,0,0,0,0
-5.8834,53.71995,BTS-VIIa/213/129/1994,61.43814433,49.32,13.567,34.185,19798.99023,,0.43,0,0,0,0
-4.7492,53.82665,BTS-VIIa/401/78/1994,0,70.5,14.649,34.148,26305.89258,,1,0,0,0,0
-4.2034,53.8317,BTS-VIIa/423/124/1994,0,45.4,15.612,34.072,38013.15625,,1.16,0,0,0,0
-3.4266,53.83995,BTS-VIIa/43/107/1994,0,16.48,16.555,33.862,25000,,0.79,0,0,0,0
-5.1308,53.86085,BTS-VIIa/405/77/1994,64.49907273,66.11,14.401,34.18,29732.13672,,0.61,0,0,0,0
-3.97495,53.8041,BTS-VIIa/53/123/1994,0,39.19,15.885,34.032,48373.54688,,0.99,0,0,0,0
-3.34005,53.8859,BTS-VIIa/23/106/1994,0,12.06,16.554,33.711,19000,,0.85,0,0,0,0
-6.1084,53.87755,BTS-VIIa/206/128/1994,51.46917709,27.98,14.026,34.196,10198.03906,,0.23,0,0,0,0
-3.5566,53.97745,BTS-VIIa/41/102/1994,0,23.17,16.118,33.934,23706.53906,,0.69,0,0,0,0
-3.87665,53.9091,BTS-VIIa/42/101/1994,0,36.64,15.586,34.033,45177.42969,,0.85,0,0,0,0
-4.40335,54.01585,BTS-VIIa/424/79/1994,0,45.28,14.889,34.097,13453.62402,,1.14,0,0,0,0
